route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
10794,1,1067317,COUNTRY CLUB,,0,371598,33605
10794,1,1067318,COUNTRY CLUB,,0,371599,33605
10794,1,1067326,COUNTRY CLUB,,0,371603,33605
10794,1,1067327,COUNTRY CLUB,,0,371604,33605
10794,1,1067328,COUNTRY CLUB,,0,371602,33605
10794,1,1067329,COUNTRY CLUB,,0,371605,33605
10794,1,1067330,COUNTRY CLUB,,0,371600,33605
10794,1,1067331,COUNTRY CLUB,,0,371601,33605
10794,1,1067332,COUNTRY CLUB,,0,371598,33605
10794,1,1067333,COUNTRY CLUB,,0,371599,33605
10794,1,1067334,COUNTRY CLUB,,0,371603,33605
10794,1,1067335,COUNTRY CLUB,,0,371604,33605
10794,1,1067336,COUNTRY CLUB,,0,371602,33605
10794,1,1067337,COUNTRY CLUB,,0,371605,33605
10794,1,1067338,COUNTRY CLUB,,0,371600,33605
10794,1,1067339,COUNTRY CLUB,,0,371601,33605
10794,1,1067340,COUNTRY CLUB,,0,371598,33605
10794,1,1067347,COUNTRY CLUB,,0,371607,33606
10794,1,1067341,COUNTRY CLUB,,0,371599,33605
10794,1,1067342,COUNTRY CLUB,,0,371603,33605
10794,1,1067343,COUNTRY CLUB,,0,371604,33605
10794,1,1067344,COUNTRY CLUB,,0,371602,33605
10794,1,1067345,COUNTRY CLUB,,0,371606,33605
10794,1,1067346,COUNTRY CLUB,,0,371605,33605
10794,1,1067319,COUNTRY CLUB,,0,371600,33605
10794,1,1067320,COUNTRY CLUB,,0,371601,33605
10794,1,1067321,COUNTRY CLUB,,0,371599,33605
10794,1,1067323,COUNTRY CLUB,,0,371603,33605
10794,1,1067324,COUNTRY CLUB,,0,371604,33605
10794,1,1067325,COUNTRY CLUB,,0,371599,33605
10794,1,1067322,COUNTRY CLUB,,0,371602,33605
10794,1,1067348,DOWNTOWN,,1,371603,33607
10794,1,1067349,DOWNTOWN,,1,371604,33607
10794,1,1067357,DOWNTOWN,,1,371602,33607
10794,1,1067378,SWAN/PIMA,,1,371608,33608
10794,1,1067358,DOWNTOWN,,1,371605,33607
10794,1,1067359,DOWNTOWN,,1,371600,33607
10794,1,1067360,DOWNTOWN,,1,371601,33607
10794,1,1067361,DOWNTOWN,,1,371598,33607
10794,1,1067362,DOWNTOWN,,1,371599,33607
10794,1,1067363,DOWNTOWN,,1,371603,33607
10794,1,1067364,DOWNTOWN,,1,371604,33607
10794,1,1067365,DOWNTOWN,,1,371602,33607
10794,1,1067366,DOWNTOWN,,1,371605,33607
10794,1,1067367,DOWNTOWN,,1,371600,33607
10794,1,1067368,DOWNTOWN,,1,371601,33607
10794,1,1067369,DOWNTOWN,,1,371598,33607
10794,1,1067370,DOWNTOWN,,1,371599,33607
10794,1,1067371,DOWNTOWN,,1,371603,33607
10794,1,1067372,DOWNTOWN,,1,371604,33607
10794,1,1067373,DOWNTOWN,,1,371602,33607
10794,1,1067374,DOWNTOWN,,1,371606,33607
10794,1,1067375,DOWNTOWN,,1,371605,33607
10794,1,1067376,DOWNTOWN,,1,371600,33607
10794,1,1067377,DOWNTOWN,,1,371601,33607
10794,1,1067350,DOWNTOWN,,1,371599,33607
10794,1,1067351,DOWNTOWN,,1,371603,33607
10794,1,1067353,DOWNTOWN,,1,371605,33607
10794,1,1067354,DOWNTOWN,,1,371604,33607
10794,1,1067355,DOWNTOWN,,1,371599,33607
10794,1,1067356,DOWNTOWN,,1,371602,33607
10794,1,1067352,DOWNTOWN,,1,371606,33607
10795,1,1067435,TOHONO CENTER,,0,371621,33609
10795,1,1067436,TOHONO CENTER,,0,371622,33609
10795,1,1067458,TOHONO CENTER,,0,371625,33609
10795,1,1067459,TOHONO CENTER,,0,371626,33609
10795,1,1067460,TOHONO CENTER,,0,371627,33609
10795,1,1067461,TOHONO CENTER,,0,371623,33609
10795,1,1067462,TOHONO CENTER,,0,371624,33609
10795,1,1067463,TOHONO CENTER,,0,371621,33609
10795,1,1067464,TOHONO CENTER,,0,371622,33609
10795,1,1067465,TOHONO CENTER,,0,371625,33609
10795,1,1067466,TOHONO CENTER,,0,371626,33609
10795,1,1067467,TOHONO CENTER,,0,371627,33609
10795,1,1067437,TOHONO CENTER,,0,371623,33609
10795,1,1067438,TOHONO CENTER,,0,371624,33609
10795,1,1067439,TOHONO CENTER,,0,371621,33609
10795,1,1067440,TOHONO CENTER,,0,371622,33609
10795,1,1067441,TOHONO CENTER,,0,371625,33609
10795,1,1067442,TOHONO CENTER,,0,371626,33609
10795,1,1067443,TOHONO CENTER,,0,371627,33609
10795,1,1067444,TOHONO CENTER,,0,371623,33609
10795,1,1067445,TOHONO CENTER,,0,371624,33609
10795,1,1067446,TOHONO CENTER,,0,371621,33609
10795,1,1067447,TOHONO CENTER,,0,371622,33609
10795,1,1067448,TOHONO CENTER,,0,371625,33609
10795,1,1067449,TOHONO CENTER,,0,371626,33609
10795,1,1067450,TOHONO CENTER,,0,371627,33609
10795,1,1067451,TOHONO CENTER,,0,371625,33609
10795,1,1067452,TOHONO CENTER,,0,371626,33609
10795,1,1067455,TOHONO CENTER,,0,371625,33609
10795,1,1067456,TOHONO CENTER,,0,371626,33609
10795,1,1067457,TOHONO CENTER,,0,371625,33609
10795,1,1067453,TOHONO CENTER,,0,371626,33609
10795,1,1067454,TOHONO CENTER,,0,371625,33609
10795,1,1067468,DOWNTOWN,,1,371621,33610
10795,1,1067469,DOWNTOWN,,1,371622,33610
10795,1,1067484,DOWNTOWN,,1,371625,33610
10795,1,1067485,DOWNTOWN,,1,371626,33610
10795,1,1067488,DOWNTOWN,,1,371627,33610
10795,1,1067489,DOWNTOWN,,1,371623,33610
10795,1,1067490,DOWNTOWN,,1,371624,33610
10795,1,1067491,DOWNTOWN,,1,371621,33610
10795,1,1067492,DOWNTOWN,,1,371622,33610
10795,1,1067493,DOWNTOWN,,1,371625,33610
10795,1,1067494,DOWNTOWN,,1,371626,33610
10795,1,1067495,DOWNTOWN,,1,371627,33610
10795,1,1067496,DOWNTOWN,,1,371623,33610
10795,1,1067497,DOWNTOWN,,1,371624,33610
10795,1,1067498,DOWNTOWN,,1,371621,33610
10795,1,1067499,DOWNTOWN,,1,371622,33610
10795,1,1067500,DOWNTOWN,,1,371625,33610
10795,1,1067470,DOWNTOWN,,1,371626,33610
10795,1,1067471,DOWNTOWN,,1,371627,33610
10795,1,1067472,DOWNTOWN,,1,371623,33610
10795,1,1067473,DOWNTOWN,,1,371624,33610
10795,1,1067474,DOWNTOWN,,1,371621,33610
10795,1,1067475,DOWNTOWN,,1,371622,33610
10795,1,1067476,DOWNTOWN,,1,371625,33610
10795,1,1067477,DOWNTOWN,,1,371626,33610
10795,1,1067478,DOWNTOWN,,1,371627,33610
10795,1,1067479,DOWNTOWN,,1,371625,33610
10795,1,1067480,DOWNTOWN,,1,371626,33610
10795,1,1067481,DOWNTOWN,,1,371625,33610
10795,1,1067482,DOWNTOWN,,1,371626,33610
10795,1,1067483,DOWNTOWN,,1,371625,33610
10795,1,1067486,DOWNTOWN,,1,371626,33610
10795,1,1067487,DOWNTOWN,,1,371625,33610
10796,1,1067560,DOWNTOWN,,0,371635,33611
10796,1,1067559,DOWNTOWN,,0,371634,33611
10796,1,1067561,DOWNTOWN,,0,371636,33611
10796,1,1067563,DOWNTOWN,,1,371638,33612
10796,1,1067562,DOWNTOWN,,1,371637,33612
10796,1,1067564,DOWNTOWN,,1,371639,33612
10797,1,1067565,U OF A - VIA DOWNTOWN,,0,371640,33613
10797,1,1067566,U OF A - VIA DOWNTOWN,,0,371641,33613
10797,1,1067567,U OF A - VIA DOWNTOWN,,0,371642,33613
10797,1,1067568,MAGEE RD - VIA DOWNTOWN,,1,371643,33614
10797,1,1067569,MAGEE RD - VIA DOWNTOWN,,1,371644,33615
10797,1,1067570,MAGEE RD - VIA DOWNTOWN,,1,371645,33615
10798,1,1067571,DOWNTOWN - VIA U OF A,,0,371646,33616
10798,1,1067572,DOWNTOWN - VIA U OF A,,0,371647,33616
10798,1,1067574,DOWNTOWN - VIA U OF A,,0,371649,33616
10798,1,1067573,DOWNTOWN - VIA U OF A,,0,371648,33616
10798,1,1067578,INA RD - VIA U OF A,,1,371653,33617
10798,1,1067575,INA RD - VIA U OF A,,1,371650,33617
10798,1,1067576,INA RD - VIA U OF A,,1,371651,33617
10798,1,1067577,INA RD - VIA U OF A,,1,371652,33617
10799,1,1067579,DOWNTOWN,,0,371654,33618
10799,1,1067580,DOWNTOWN,,0,371655,33618
10799,1,1067581,DOWNTOWN,,0,371656,33618
10799,1,1067582,ARIZONA PAVILLIONS,,1,371657,33619
10799,1,1067583,ARIZONA PAVILLIONS,,1,371658,33619
10799,1,1067584,ARIZONA PAVILLIONS,,1,371657,33619
10800,1,1067586,DOWNTOWN,,0,371660,33620
10800,1,1067585,DOWNTOWN,,0,371659,33620
10800,1,1067587,DOWNTOWN,,0,371661,33620
10800,1,1067590,TOHONO CENTER,,1,371664,33621
10800,1,1067588,TOHONO CENTER,,1,371662,33621
10800,1,1067589,TOHONO CENTER,,1,371663,33621
10801,1,1067591,RANCHO VISTOSO,,0,371665,33622
10801,1,1067592,RANCHO VISTOSO,,0,371666,33622
10801,1,1067593,RANCHO VISTOSO,,0,371667,33622
10801,1,1067594,DOWNTOWN,,1,371668,33623
10801,1,1067595,DOWNTOWN,,1,371669,33623
10801,1,1067596,DOWNTOWN,,1,371670,33623
10802,1,1067597,DOWNTOWN,,0,371671,33624
10802,1,1067598,DOWNTOWN,,0,371672,33624
10802,1,1067599,DOWNTOWN,,0,371673,33624
10802,1,1067601,BROADWAY,,1,371675,33625
10802,1,1067600,BROADWAY,,1,371674,33625
10802,1,1067602,BROADWAY,,1,371676,33625
10803,1,1067603,DOWNTOWN -  VIA GRANT - U OF A,,0,371677,33626
10803,1,1067604,DOWNTOWN -  VIA GRANT - U OF A,,0,371678,33626
10803,1,1067605,DOWNTOWN -  VIA GRANT - U OF A,,0,371679,33626
10803,1,1067606,CATALINA HWY - VIA U OF A - GRANT,,1,371680,33627
10803,1,1067607,CATALINA HWY - VIA U OF A - GRANT,,1,371681,33627
10803,1,1067608,CATALINA HWY - VIA U OF A - GRANT,,1,371682,33627
10804,1,1067609,DODGE/RIVER,,0,371683,33628
10804,1,1067610,DODGE/RIVER,,0,371684,33629
10804,1,1067646,DODGE/RIVER,,0,371688,33628
10804,1,1067647,DODGE/RIVER,,0,371689,33629
10804,1,1067648,DODGE/RIVER,,0,371690,33628
10804,1,1067649,DODGE/RIVER,,0,371685,33629
10804,1,1067650,DODGE/RIVER,,0,371686,33628
10804,1,1067651,DODGE/RIVER,,0,371687,33629
10804,1,1067652,DODGE/RIVER,,0,371683,33628
10804,1,1067653,DODGE/RIVER,,0,371684,33629
10804,1,1067654,DODGE/RIVER,,0,371688,33628
10804,1,1067655,DODGE/RIVER,,0,371689,33629
10804,1,1067656,DODGE/RIVER,,0,371690,33628
10804,1,1067657,DODGE/RIVER,,0,371685,33629
10804,1,1067658,DODGE/RIVER,,0,371686,33628
10804,1,1067659,DODGE/RIVER,,0,371687,33629
10804,1,1067660,DODGE/RIVER,,0,371683,33628
10804,1,1067661,DODGE/RIVER,,0,371684,33629
10804,1,1067662,DODGE/RIVER,,0,371688,33628
10804,1,1067663,DODGE/RIVER,,0,371689,33629
10804,1,1067664,DODGE/RIVER,,0,371690,33628
10804,1,1067611,DODGE/RIVER,,0,371685,33629
10804,1,1067612,DODGE/RIVER,,0,371686,33628
10804,1,1067613,DODGE/RIVER,,0,371687,33629
10804,1,1067614,DODGE/RIVER,,0,371683,33628
10804,1,1067615,DODGE/RIVER,,0,371684,33629
10804,1,1067616,DODGE/RIVER,,0,371688,33628
10804,1,1067617,DODGE/RIVER,,0,371689,33629
10804,1,1067618,DODGE/RIVER,,0,371690,33628
10804,1,1067619,DODGE/RIVER,,0,371685,33629
10804,1,1067620,DODGE/RIVER,,0,371686,33628
10804,1,1067621,DODGE/RIVER,,0,371687,33629
10804,1,1067622,DODGE/RIVER,,0,371683,33628
10804,1,1067623,DODGE/RIVER,,0,371684,33629
10804,1,1067624,DODGE/RIVER,,0,371688,33628
10804,1,1067625,DODGE/RIVER,,0,371689,33629
10804,1,1067626,DODGE/RIVER,,0,371690,33628
10804,1,1067627,DODGE/RIVER,,0,371685,33629
10804,1,1067628,DODGE/RIVER,,0,371686,33628
10804,1,1067629,DODGE/RIVER,,0,371687,33629
10804,1,1067630,DODGE/RIVER,,0,371683,33628
10804,1,1067631,DODGE/RIVER,,0,371684,33629
10804,1,1067632,DODGE/RIVER,,0,371688,33628
10804,1,1067633,DODGE/RIVER,,0,371689,33629
10804,1,1067635,DODGE/RIVER,,0,371690,33628
10804,1,1067636,DODGE/RIVER,,0,371685,33629
10804,1,1067637,DODGE/RIVER,,0,371686,33628
10804,1,1067638,DODGE/RIVER,,0,371687,33629
10804,1,1067639,DODGE/RIVER,,0,371683,33628
10804,1,1067640,DODGE/RIVER,,0,371684,33629
10804,1,1067641,DODGE/RIVER,,0,371688,33628
10804,1,1067642,DODGE/RIVER,,0,371685,33629
10804,1,1067643,DODGE/RIVER,,0,371686,33628
10804,1,1067644,DODGE/RIVER,,0,371688,33628
10804,1,1067645,DODGE/RIVER,,0,371686,33628
10804,1,1067634,DODGE/RIVER,,0,371688,33628
10804,1,1067665,LAOS CENTER,,1,371688,33630
10804,1,1067666,AIRPORT,,1,371689,33631
10804,1,1067668,LAOS CENTER,,1,371690,33630
10804,1,1067669,AIRPORT,,1,371685,33631
10804,1,1067670,LAOS CENTER,,1,371686,33630
10804,1,1067671,AIRPORT,,1,371687,33631
10804,1,1067672,LAOS CENTER,,1,371683,33630
10804,1,1067673,AIRPORT,,1,371684,33631
10804,1,1067674,LAOS CENTER,,1,371688,33630
10804,1,1067675,AIRPORT,,1,371689,33631
10804,1,1067676,LAOS CENTER,,1,371690,33630
10804,1,1067677,AIRPORT,,1,371685,33631
10804,1,1067678,LAOS CENTER,,1,371686,33630
10804,1,1067679,AIRPORT,,1,371687,33631
10804,1,1067680,LAOS CENTER,,1,371683,33630
10804,1,1067681,AIRPORT,,1,371684,33631
10804,1,1067682,LAOS CENTER,,1,371688,33630
10804,1,1067683,AIRPORT,,1,371689,33631
10804,1,1067684,LAOS CENTER,,1,371690,33630
10804,1,1067685,AIRPORT,,1,371685,33631
10804,1,1067686,LAOS CENTER,,1,371686,33630
10804,1,1067687,AIRPORT,,1,371687,33631
10804,1,1067688,LAOS CENTER,,1,371683,33630
10804,1,1067689,AIRPORT,,1,371684,33631
10804,1,1067690,LAOS CENTER,,1,371688,33630
10804,1,1067691,AIRPORT,,1,371689,33631
10804,1,1067692,LAOS CENTER,,1,371690,33630
10804,1,1067693,AIRPORT,,1,371685,33631
10804,1,1067694,LAOS CENTER,,1,371686,33630
10804,1,1067695,AIRPORT,,1,371687,33631
10804,1,1067696,LAOS CENTER,,1,371683,33630
10804,1,1067697,AIRPORT,,1,371684,33631
10804,1,1067699,LAOS CENTER,,1,371688,33630
10804,1,1067700,AIRPORT,,1,371689,33631
10804,1,1067701,LAOS CENTER,,1,371690,33630
10804,1,1067702,AIRPORT,,1,371685,33631
10804,1,1067703,LAOS CENTER,,1,371686,33630
10804,1,1067704,AIRPORT,,1,371687,33631
10804,1,1067705,LAOS CENTER,,1,371683,33630
10804,1,1067706,AIRPORT,,1,371684,33631
10804,1,1067707,LAOS CENTER,,1,371688,33630
10804,1,1067708,AIRPORT,,1,371689,33631
10804,1,1067709,LAOS CENTER,,1,371690,33630
10804,1,1067710,AIRPORT,,1,371685,33631
10804,1,1067711,LAOS CENTER,,1,371686,33630
10804,1,1067712,AIRPORT,,1,371687,33631
10804,1,1067713,LAOS CENTER,,1,371683,33630
10804,1,1067714,AIRPORT,,1,371684,33631
10804,1,1067715,LAOS CENTER,,1,371688,33630
10804,1,1067716,AIRPORT,,1,371689,33631
10804,1,1067717,LAOS CENTER,,1,371690,33630
10804,1,1067718,AIRPORT,,1,371685,33631
10804,1,1067719,LAOS CENTER,,1,371686,33630
10804,1,1067720,AIRPORT,,1,371687,33631
10804,1,1067721,LAOS CENTER,,1,371688,33630
10804,1,1067722,LAOS CENTER,,1,371686,33630
10804,1,1067667,LAOS CENTER,,1,371688,33630
10804,1,1067698,LAOS CENTER,,1,371686,33630
10805,1,1067834,DOWNTOWN,,0,371703,33633
10805,1,1067836,DOWNTOWN,,0,371704,33633
10805,1,1067835,DOWNTOWN,,0,371704,33633
10805,1,1067837,DOWNTOWN,,0,371705,33632
10805,1,1067838,DOWNTOWN,,0,371706,33632
10805,1,1067839,DOWNTOWN,,0,371705,33632
10805,1,1067843,RITA RANCH - VIA UA TECH PARK,,1,371703,33634
10805,1,1067845,RITA RANCH - VIA UA TECH PARK,,1,371704,33634
10805,1,1067844,RITA RANCH - VIA UA TECH PARK,,1,371704,33634
10805,1,1067840,RITA RANCH - VIA UA TECH PARK,,1,371705,33635
10805,1,1067841,RITA RANCH - VIA UA TECH PARK,,1,371706,33635
10805,1,1067842,RITA RANCH - VIA UA TECH PARK,,1,371705,33635
10806,1,1067846,TOHONO CENTER,,0,371627,33636
10806,1,1067847,TOHONO CENTER,,0,371605,33636
10806,1,1067863,TOHONO CENTER,,0,371623,33636
10806,1,1067864,TOHONO CENTER,,0,371600,33636
10806,1,1067887,TOHONO CENTER,,0,371624,33637
10806,1,1067865,TOHONO CENTER,,0,371601,33636
10806,1,1067888,TOHONO CENTER,,0,371621,33637
10806,1,1067866,TOHONO CENTER,,0,371598,33636
10806,1,1067889,TOHONO CENTER,,0,371622,33637
10806,1,1067867,TOHONO CENTER,,0,371599,33636
10806,1,1067890,TOHONO CENTER,,0,371625,33637
10806,1,1067868,TOHONO CENTER,,0,371603,33636
10806,1,1067891,TOHONO CENTER,,0,371626,33637
10806,1,1067869,TOHONO CENTER,,0,371604,33636
10806,1,1067892,TOHONO CENTER,,0,371627,33637
10806,1,1067870,TOHONO CENTER,,0,371602,33636
10806,1,1067893,TOHONO CENTER,,0,371623,33637
10806,1,1067871,TOHONO CENTER,,0,371605,33636
10806,1,1067894,TOHONO CENTER,,0,371624,33637
10806,1,1067872,TOHONO CENTER,,0,371600,33636
10806,1,1067895,TOHONO CENTER,,0,371621,33637
10806,1,1067873,TOHONO CENTER,,0,371601,33636
10806,1,1067896,TOHONO CENTER,,0,371622,33637
10806,1,1067874,TOHONO CENTER,,0,371598,33636
10806,1,1067897,TOHONO CENTER,,0,371625,33637
10806,1,1067875,TOHONO CENTER,,0,371599,33636
10806,1,1067900,TOHONO CENTER,,0,371626,33637
10806,1,1067876,TOHONO CENTER,,0,371603,33636
10806,1,1067901,TOHONO CENTER,,0,371627,33637
10806,1,1067877,TOHONO CENTER,,0,371604,33636
10806,1,1067902,TOHONO CENTER,,0,371623,33637
10806,1,1067878,TOHONO CENTER,,0,371602,33636
10806,1,1067848,TOHONO CENTER,,0,371624,33637
10806,1,1067879,TOHONO CENTER,,0,371605,33636
10806,1,1067849,TOHONO CENTER,,0,371621,33637
10806,1,1067880,TOHONO CENTER,,0,371600,33636
10806,1,1067850,TOHONO CENTER,,0,371622,33637
10806,1,1067881,TOHONO CENTER,,0,371601,33636
10806,1,1067851,TOHONO CENTER,,0,371625,33637
10806,1,1067882,TOHONO CENTER,,0,371598,33636
10806,1,1067852,TOHONO CENTER,,0,371626,33637
10806,1,1067883,TOHONO CENTER,,0,371599,33636
10806,1,1067853,TOHONO CENTER,,0,371627,33637
10806,1,1067884,TOHONO CENTER,,0,371603,33636
10806,1,1067854,TOHONO CENTER,,0,371623,33637
10806,1,1067885,TOHONO CENTER,,0,371604,33636
10806,1,1067855,TOHONO CENTER,,0,371624,33637
10806,1,1067886,TOHONO CENTER,,0,371602,33636
10806,1,1067856,TOHONO CENTER,,0,371606,33636
10806,1,1067857,TOHONO CENTER,,0,371600,33636
10806,1,1067858,TOHONO CENTER,,0,371602,33636
10806,1,1067859,TOHONO CENTER,,0,371601,33636
10806,1,1067860,TOHONO CENTER,,0,371606,33636
10806,1,1067861,TOHONO CENTER,,0,371603,33636
10806,1,1067862,TOHONO CENTER,,0,371604,33636
10806,1,1067898,TOHONO CENTER,,0,371599,33636
10806,1,1067899,TOHONO CENTER,,0,371602,33636
10806,1,1067903,22ND STREET,,1,371604,33638
10806,1,1067904,22ND STREET,,1,371602,33638
10806,1,1067911,U OF A MALL,,1,371624,33639
10806,1,1067937,22ND STREET,,1,371605,33638
10806,1,1067912,U OF A MALL,,1,371621,33639
10806,1,1067938,22ND STREET,,1,371600,33638
10806,1,1067913,U OF A MALL,,1,371622,33639
10806,1,1067939,22ND STREET,,1,371601,33638
10806,1,1067914,U OF A MALL,,1,371625,33639
10806,1,1067940,22ND STREET,,1,371598,33638
10806,1,1067915,U OF A MALL,,1,371626,33639
10806,1,1067941,22ND STREET,,1,371599,33638
10806,1,1067916,U OF A MALL,,1,371627,33639
10806,1,1067942,22ND STREET,,1,371603,33638
10806,1,1067917,U OF A MALL,,1,371623,33639
10806,1,1067945,22ND STREET,,1,371604,33638
10806,1,1067918,U OF A MALL,,1,371624,33639
10806,1,1067946,22ND STREET,,1,371602,33638
10806,1,1067919,U OF A MALL,,1,371621,33639
10806,1,1067947,22ND STREET,,1,371605,33638
10806,1,1067920,U OF A MALL,,1,371622,33639
10806,1,1067948,22ND STREET,,1,371600,33638
10806,1,1067921,U OF A MALL,,1,371625,33639
10806,1,1067949,22ND STREET,,1,371601,33638
10806,1,1067922,U OF A MALL,,1,371626,33639
10806,1,1067950,22ND STREET,,1,371598,33638
10806,1,1067923,U OF A MALL,,1,371627,33639
10806,1,1067951,22ND STREET,,1,371599,33638
10806,1,1067924,U OF A MALL,,1,371623,33639
10806,1,1067952,22ND STREET,,1,371603,33638
10806,1,1067925,U OF A MALL,,1,371624,33639
10806,1,1067953,22ND STREET,,1,371604,33638
10806,1,1067926,U OF A MALL,,1,371621,33639
10806,1,1067954,22ND STREET,,1,371602,33638
10806,1,1067927,U OF A MALL,,1,371622,33639
10806,1,1067955,22ND STREET,,1,371605,33638
10806,1,1067928,U OF A MALL,,1,371625,33639
10806,1,1067956,22ND STREET,,1,371600,33638
10806,1,1067929,U OF A MALL,,1,371626,33639
10806,1,1067905,22ND STREET,,1,371601,33638
10806,1,1067930,U OF A MALL,,1,371627,33639
10806,1,1067906,22ND STREET,,1,371598,33638
10806,1,1067931,U OF A MALL,,1,371623,33639
10806,1,1067907,22ND STREET,,1,371599,33638
10806,1,1067932,U OF A MALL,,1,371624,33639
10806,1,1067908,22ND STREET,,1,371603,33638
10806,1,1067909,22ND STREET,,1,371604,33638
10806,1,1067910,COUNTRY CLUB,,1,371602,33640
10806,1,1067933,COUNTRY CLUB,,1,371606,33640
10806,1,1067934,22ND STREET,,1,371600,33638
10806,1,1067935,22ND STREET,,1,371602,33638
10806,1,1067936,22ND STREET,,1,371606,33638
10806,1,1067943,22ND STREET,,1,371604,33638
10806,1,1067944,22ND STREET,,1,371599,33638
10807,1,1068013,ORACLE/INA,,0,371707,33642
10807,1,1068014,THORNYDALE,,0,371708,33643
10807,1,1068021,ORACLE/INA,,0,371715,33642
10807,1,1068022,THORNYDALE,,0,371712,33643
10807,1,1068023,ORACLE/INA,,0,371716,33642
10807,1,1068027,THORNYDALE,,0,371717,33643
10807,1,1068028,TOHONO CENTER,,0,371718,33641
10807,1,1068051,TOHONO CENTER,,0,371721,33641
10807,1,1068029,THORNYDALE,,0,371714,33643
10807,1,1068052,TOHONO CENTER,,0,371713,33641
10807,1,1068030,TOHONO CENTER,,0,371719,33641
10807,1,1068053,THORNYDALE,,0,371722,33643
10807,1,1068031,TOHONO CENTER,,0,371707,33641
10807,1,1068054,TOHONO CENTER,,0,371709,33641
10807,1,1068032,THORNYDALE,,0,371720,33643
10807,1,1068055,TOHONO CENTER,,0,371723,33641
10807,1,1068033,TOHONO CENTER,,0,371710,33641
10807,1,1068056,THORNYDALE,,0,371711,33643
10807,1,1068034,TOHONO CENTER,,0,371715,33641
10807,1,1068057,TOHONO CENTER,,0,371708,33641
10807,1,1068035,THORNYDALE,,0,371718,33643
10807,1,1068058,TOHONO CENTER,,0,371716,33641
10807,1,1068036,TOHONO CENTER,,0,371712,33641
10807,1,1068059,THORNYDALE,,0,371713,33643
10807,1,1068037,TOHONO CENTER,,0,371721,33641
10807,1,1068060,TOHONO CENTER,,0,371717,33641
10807,1,1068038,THORNYDALE,,0,371707,33643
10807,1,1068061,TOHONO CENTER,,0,371709,33641
10807,1,1068039,TOHONO CENTER,,0,371714,33641
10807,1,1068062,THORNYDALE,,0,371723,33643
10807,1,1068040,TOHONO CENTER,,0,371710,33641
10807,1,1068063,TOHONO CENTER,,0,371722,33641
10807,1,1068041,THORNYDALE,,0,371715,33643
10807,1,1068064,TOHONO CENTER,,0,371708,33641
10807,1,1068042,TOHONO CENTER,,0,371720,33641
10807,1,1068065,THORNYDALE,,0,371716,33643
10807,1,1068043,TOHONO CENTER,,0,371712,33641
10807,1,1068066,TOHONO CENTER,,0,371711,33641
10807,1,1068044,THORNYDALE,,0,371721,33643
10807,1,1068067,TOHONO CENTER,,0,371717,33641
10807,1,1068045,TOHONO CENTER,,0,371718,33641
10807,1,1068068,THORNYDALE,,0,371709,33643
10807,1,1068046,TOHONO CENTER,,0,371714,33641
10807,1,1068069,TOHONO CENTER,,0,371713,33641
10807,1,1068047,THORNYDALE,,0,371710,33643
10807,1,1068070,TOHONO CENTER,,0,371722,33641
10807,1,1068048,TOHONO CENTER,,0,371707,33641
10807,1,1068071,THORNYDALE,,0,371708,33643
10807,1,1068049,TOHONO CENTER,,0,371720,33641
10807,1,1068072,TOHONO CENTER,,0,371723,33641
10807,1,1068050,THORNYDALE,,0,371712,33643
10807,1,1068073,TOHONO CENTER,,0,371711,33641
10807,1,1068074,ORACLE/INA,,0,371715,33642
10807,1,1068075,THORNYDALE,,0,371717,33643
10807,1,1068076,TOHONO CENTER,,0,371718,33641
10807,1,1068077,ORACLE/INA,,0,371716,33642
10807,1,1068078,THORNYDALE,,0,371714,33643
10807,1,1068079,TOHONO CENTER,,0,371713,33641
10807,1,1068080,ORACLE/INA,,0,371721,33642
10807,1,1068081,THORNYDALE,,0,371722,33643
10807,1,1068082,TOHONO CENTER,,0,371707,33641
10807,1,1068083,ORACLE/INA,,0,371709,33642
10807,1,1068084,THORNYDALE,,0,371720,33643
10807,1,1068085,TOHONO CENTER,,0,371723,33641
10807,1,1068086,ORACLE/INA,,0,371710,33642
10807,1,1068087,THORNYDALE,,0,371711,33643
10807,1,1068088,TOHONO CENTER,,0,371724,33641
10807,1,1068089,ORACLE/INA,,0,371708,33642
10807,1,1068090,THORNYDALE,,0,371718,33643
10807,1,1068091,TOHONO CENTER,,0,371715,33641
10807,1,1068092,ORACLE/INA,,0,371712,33642
10807,1,1068093,THORNYDALE,,0,371713,33643
10807,1,1068094,ORACLE/INA,,0,371716,33642
10807,1,1068095,THORNYDALE,,0,371707,33643
10807,1,1068096,ORACLE/INA,,0,371714,33642
10807,1,1068015,THORNYDALE,,0,371709,33643
10807,1,1068016,ORACLE/INA,,0,371710,33642
10807,1,1068017,THORNYDALE,,0,371711,33643
10807,1,1068018,ORACLE/INA,,0,371712,33642
10807,1,1068019,THORNYDALE,,0,371713,33643
10807,1,1068020,ORACLE/INA,,0,371714,33642
10807,1,1068024,THORNYDALE,,0,371709,33643
10807,1,1068026,ORACLE/INA,,0,371710,33642
10807,1,1068025,THORNYDALE,,0,371711,33643
10807,1,1068097,LAOS CENTER,,1,371718,33646
10807,1,1068098,LAOS CENTER,,1,371713,33645
10807,1,1068111,LAOS CENTER,,1,371719,33646
10807,1,1068099,LAOS CENTER,,1,371707,33645
