route_id,service_id,trip_id,trip_headsign,direction_id,direction_name,block_id,shape_id,wheelchair_accessible,trip_bikes_allowed,trip_headsign_short
AIR,76360-1111111-0,16282358,"",1,Counterclockwise,1,AIR_9_244,1,2,
AIR,76360-1111111-0,16282359,"",1,Counterclockwise,2,AIR_9_244,1,2,
AIR,76360-1111111-0,16282360,"",1,Counterclockwise,3,AIR_9_244,1,2,
AIR,76360-1111111-0,16282361,"",1,Counterclockwise,1,AIR_9_244,1,2,
AIR,76360-1111111-0,16282362,"",1,Counterclockwise,2,AIR_9_244,1,2,
AIR,76360-1111111-0,16282363,"",1,Counterclockwise,3,AIR_9_244,1,2,
AIR,76360-1111111-0,16282364,"",1,Counterclockwise,1,AIR_9_244,1,2,
AIR,76360-1111111-0,16282365,"",1,Counterclockwise,2,AIR_9_244,1,2,
AIR,76360-1111111-0,16282366,"",1,Counterclockwise,3,AIR_9_244,1,2,
AIR,76360-1111111-0,16282367,"",1,Counterclockwise,1,AIR_9_244,1,2,
AIR,76360-1111111-0,16282368,"",1,Counterclockwise,2,AIR_9_244,1,2,
AIR,76360-1111111-0,16282369,"",1,Counterclockwise,3,AIR_9_244,1,2,
AIR,76360-1111111-0,16282370,"",1,Counterclockwise,1,AIR_9_244,1,2,
AIR,76360-1111111-0,16282371,"",1,Counterclockwise,2,AIR_9_244,1,2,
AIR,76360-1111111-0,16282372,"",1,Counterclockwise,3,AIR_9_244,1,2,
AIR,76360-1111111-0,16282373,"",1,Counterclockwise,1,AIR_9_244,1,2,
AIR,76360-1111111-0,16282374,"",1,Counterclockwise,2,AIR_9_244,1,2,
AIR,76360-1111111-0,16282375,"",1,Counterclockwise,3,AIR_9_244,1,2,
AIR,76360-1111111-0,16282376,"",1,Counterclockwise,1,AIR_9_244,1,2,
AIR,76360-1111111-0,16282377,"",1,Counterclockwise,2,AIR_9_244,1,2,
AIR,76360-1111111-0,16282378,"",1,Counterclockwise,3,AIR_9_244,1,2,
AIR,76360-1111111-0,16282379,"",1,Counterclockwise,1,AIR_9_244,1,2,
AIR,76360-1111111-0,16282380,"",1,Counterclockwise,2,AIR_9_244,1,2,
AIR,76360-1111111-0,16282381,"",1,Counterclockwise,3,AIR_9_244,1,2,
AIR,76360-1111111-0,16282382,"",1,Counterclockwise,1,AIR_9_244,1,2,
AIR,76360-1111111-0,16282383,"",1,Counterclockwise,2,AIR_9_244,1,2,
AIR,76360-1111111-0,16282384,"",1,Counterclockwise,3,AIR_9_244,1,2,
AIR,76360-1111111-0,16282385,"",1,Counterclockwise,1,AIR_9_244,1,2,
AIR,76360-1111111-0,16282386,"",1,Counterclockwise,2,AIR_9_244,1,2,
AIR,76360-1111111-0,16282387,"",1,Counterclockwise,3,AIR_9_244,1,2,
AIR,76360-1111111-0,16282388,"",1,Counterclockwise,1,AIR_9_244,1,2,
AIR,76360-1111111-0,16282389,"",1,Counterclockwise,2,AIR_9_244,1,2,
AIR,76360-1111111-0,16282390,"",1,Counterclockwise,3,AIR_9_244,1,2,
AIR,76360-1111111-0,16282391,"",1,Counterclockwise,1,AIR_9_244,1,2,
AIR,76360-1111111-0,16282392,"",1,Counterclockwise,2,AIR_9_244,1,2,
AIR,76360-1111111-0,16282393,"",1,Counterclockwise,3,AIR_9_244,1,2,
AIR,76360-1111111-0,16282394,"",1,Counterclockwise,1,AIR_9_244,1,2,
AIR,76360-1111111-0,16282395,"",1,Counterclockwise,2,AIR_9_244,1,2,
AIR,76360-1111111-0,16282396,"",1,Counterclockwise,3,AIR_9_244,1,2,
AIR,76360-1111111-0,16282397,"",1,Counterclockwise,1,AIR_9_244,1,2,
AIR,76360-1111111-0,16282398,"",1,Counterclockwise,2,AIR_9_244,1,2,
AIR,76360-1111111-0,16282399,"",1,Counterclockwise,3,AIR_9_244,1,2,
AIR,76360-1111111-0,16282400,"",1,Counterclockwise,1,AIR_9_244,1,2,
AIR,76360-1111111-0,16282401,"",1,Counterclockwise,2,AIR_9_244,1,2,
AIR,76360-1111111-0,16282402,"",1,Counterclockwise,3,AIR_9_244,1,2,
AIR,76360-1111111-0,16282403,"",1,Counterclockwise,1,AIR_9_244,1,2,
AIR,76360-1111111-0,16282404,"",1,Counterclockwise,2,AIR_9_244,1,2,
AIR,76360-1111111-0,16282405,"",1,Counterclockwise,3,AIR_9_244,1,2,
AIR,76360-1111111-0,16282406,"",1,Counterclockwise,1,AIR_9_244,1,2,
AIR,76360-1111111-0,16282407,"",1,Counterclockwise,2,AIR_9_244,1,2,
AIR,76360-1111111-0,16282408,"",1,Counterclockwise,3,AIR_9_244,1,2,
AIR,76360-1111111-0,16282409,"",1,Counterclockwise,1,AIR_9_244,1,2,
AIR,76360-1111111-0,16282410,"",1,Counterclockwise,2,AIR_9_244,1,2,
AIR,76360-1111111-0,16282411,"",1,Counterclockwise,3,AIR_9_244,1,2,
AIR,76360-1111111-0,16282412,"",1,Counterclockwise,1,AIR_9_244,1,2,
AIR,76360-1111111-0,16282413,"",1,Counterclockwise,2,AIR_9_244,1,2,
AIR,76360-1111111-0,16282414,"",1,Counterclockwise,3,AIR_9_244,1,2,
AIR,76360-1111111-0,16282415,"",1,Counterclockwise,1,AIR_9_244,1,2,
AIR,76360-1111111-0,16282416,"",1,Counterclockwise,2,AIR_9_244,1,2,
AIR,76360-1111111-0,16282417,"",1,Counterclockwise,1,AIR_9_244,1,2,
COR,7298753-1111100-53,15331417,"Broadway Pier",0,East,COMMUTER,,1,2,Brdwy Pier
COR,7298753-1111100-53,15331418,"Broadway Pier",0,East,COMMUTER,,1,2,Brdwy Pier
COR,7298753-1111100-53,15331419,"Broadway Pier",0,East,COMMUTER,,1,2,Brdwy Pier
COR,7298753-1111100-53,15331420,"Broadway Pier",0,East,COMMUTER,,1,2,Brdwy Pier
COR,7298753-1111100-53,15331421,"Broadway Pier",0,East,COMMUTER,,1,2,Brdwy Pier
COR,7298753-1111100-53,15331422,"Broadway Pier",0,East,COMMUTER,,1,2,Brdwy Pier
COR,72987-1111100-0,15331361,"5th Ave Landing",0,East,5TH AVE,,1,2,5th Ave Landing
COR,72987-1111100-0,15331333,"Broadway Pier",0,East,BROADWAY,,1,2,Brdwy Pier
COR,72987-1111100-0,15331362,"5th Ave Landing",0,East,5TH AVE,,1,2,5th Ave Landing
COR,72987-1111100-0,15331363,"5th Ave Landing",0,East,5TH AVE,,1,2,5th Ave Landing
COR,72987-1111100-0,15331334,"Broadway Pier",0,East,BROADWAY,,1,2,Brdwy Pier
COR,72987-1111100-0,15331364,"5th Ave Landing",0,East,5TH AVE,,1,2,5th Ave Landing
COR,72987-1111100-0,15331365,"5th Ave Landing",0,East,5TH AVE,,1,2,5th Ave Landing
COR,72987-1111100-0,15331335,"Broadway Pier",0,East,BROADWAY,,1,2,Brdwy Pier
COR,72987-1111100-0,15331366,"5th Ave Landing",0,East,5TH AVE,,1,2,5th Ave Landing
COR,72987-1111100-0,15331367,"5th Ave Landing",0,East,5TH AVE,,1,2,5th Ave Landing
COR,72987-1111100-0,15331336,"Broadway Pier",0,East,BROADWAY,,1,2,Brdwy Pier
COR,72987-1111100-0,15331368,"5th Ave Landing",0,East,5TH AVE,,1,2,5th Ave Landing
COR,72987-1111100-0,15331369,"5th Ave Landing",0,East,5TH AVE,,1,2,5th Ave Landing
COR,72987-1111100-0,15331337,"Broadway Pier",0,East,BROADWAY,,1,2,Brdwy Pier
COR,72987-1111100-0,15331370,"5th Ave Landing",0,East,5TH AVE,,1,2,5th Ave Landing
COR,72987-1111100-0,15331371,"5th Ave Landing",0,East,5TH AVE,,1,2,5th Ave Landing
COR,72987-1111100-0,15331338,"Broadway Pier",0,East,BROADWAY,,1,2,Brdwy Pier
